userid,nodeid,group,label,date_start,date_end,formatted,latitude,longitude,placeid,street_address,route,intersection,political,country,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,administrative_area_level_5,colloquial_area,locality,ward,sublocality,neighborhood,premise,subpremise,postal_code,natural_feature,airport,park,point_of_interest,floor,establishment,parking,post_box,postal_town,room,street_number,bus_station,train_station,transit_station,last_updated,last_retrieved
179a9cf1-40a4-42d6-acb5-bf84b36b3781,8053a080-8eb9-4d79-b7a6-5c0d153b2826,location,BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON,,,"East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,ChIJXZ7f7dYXHxURK_gCNYU2f3Q,,,,,Lebanon,Mount Lebanon,El Metn,,,,,Beirut,,,,,,Nov-03,,,,,,,,,,,,,,,5/31/2016 12:15,10/24/2016
179a9cf1-40a4-42d6-acb5-bf84b36b3781,43a09146-5aac-4e68-9a46-25b00f0474c3,location,BEIRUT LEBANON,,,"Beirut, Lebanon",33.8886299,35.4954796,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,Msaytbeh,,,,Beirut,,,,,,,,,,,,,,,,,,,,,5/31/2016 12:15,10/24/2016
182bc4da-b950-4450-b044-d3f8392558e3,4d2836f1-b0ae-4066-b867-9631cb22c5b0,organization,KIJITONYAMA DAR ES SALAAM TANZANIA,4/1/2013,,"Kijitonyama, Dar es Salaam, Tanzania",-6.7776451,39.234951,ChIJ3X6Pjh9MXBgR4rLej3Lrlbk,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/26/2016 16:25,10/24/2016
182bc4da-b950-4450-b044-d3f8392558e3,d6138de3-8793-4618-a2ca-30d1139742a5,event,DAR ES SALAAM TANZANIA,3/1/2014,3/1/2014,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/26/2016 16:25,10/24/2016
182bc4da-b950-4450-b044-d3f8392558e3,51299b7d-d46c-4c89-bd01-d88a2670abcf,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/26/2016 16:25,10/24/2016
19a6177e-936d-434a-bdfe-3bee942340b6,29f0df96-aa2a-45aa-8774-4c48cc8b492b,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/10/2016 15:38,10/24/2016
19fc1658-f1bb-4a86-8e34-29a7c3a322db,09afd664-e18d-49c7-92fb-f668a5303b40,organization,KINONDONI DAR ES SALAAM TANZANIA,6/1/2016,,"Kinondoni, Dar es Salaam, Tanzania",-6.7870698,39.2713127,ChIJrexqAm5MXBgRLsq6o3e-f-A,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,9/7/2016 8:34,10/24/2016
19fc1658-f1bb-4a86-8e34-29a7c3a322db,9e1d5dac-c5d4-4b63-8851-0cfcde251efb,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,9/7/2016 8:34,10/24/2016
19fc1658-f1bb-4a86-8e34-29a7c3a322db,421ec5dd-3430-4e95-b259-f2c81b5a0ccc,event,KAMPALA CENTRAL REGION UGANDA,5/1/2015,5/1/2015,"Kampala, Uganda",0.3475964,32.5825195,ChIJm7N0nQ-8fRcR7G9r2T2QOEU,,,,,Uganda,Central Region,Kampala,,,,,Kampala,,,,,,,,,,,,,,,,,,,,,9/7/2016 8:34,10/24/2016
19fc1658-f1bb-4a86-8e34-29a7c3a322db,18a5e681-a69c-4905-8af3-9eecb165bc55,event,MLIMANI CITY CONFERENCE CENTRE DAR ES SALAAM TANZANIA,5/1/2016,5/1/2016,"University of Dar ES Salaam Mlimani, Dar es Salaam, Tanzania",-6.7745295,39.2194519,ChIJoZoKA5NOXBgRZGNFmip33S0,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,University of Dar ES Salaam Mlimani,,,,,,,,,,,,,,,,,,9/7/2016 8:34,10/24/2016
